vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract
WA125BGF8V,Pierce,Bonney Lake,WA,98391,2027,AUDI,SQ6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,31,294712519,"{'type': 'Point', 'coordinates': [-122.17144, 47.19175]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070208
7PD2EAAB3V,Spokane,Spokane,WA,99208,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,6,295549950,"{'type': 'Point', 'coordinates': [-117.40725, 47.71862]}",BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010604
1G1FY6EV2V,King,Seattle,WA,98104,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,37,295784842,"{'type': 'Point', 'coordinates': [-122.32945, 47.60357]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008500
WA154BGF5V,King,Bellevue,WA,98007,2027,AUDI,Q6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,48,291348641,"{'type': 'Point', 'coordinates': [-122.14746, 47.59912]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023603
WA125BGF6V,King,North Bend,WA,98045,2027,AUDI,SQ6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,5,292958151,"{'type': 'Point', 'coordinates': [-121.7831, 47.49348]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032704
WBS83GV02V,Clallam,Sequim,WA,98382,2027,BMW,M5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,24,293561138,"{'type': 'Point', 'coordinates': [-123.10367, 48.07965]}",BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009001902
1G1FZ6EV0V,Whatcom,Bellingham,WA,98226,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,42,292962575,"{'type': 'Point', 'coordinates': [-122.49756, 48.7999]}",PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000203
1G1FY6EV9V,Spokane,Spokane,WA,99201,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,3,291329797,"{'type': 'Point', 'coordinates': [-117.41162, 47.65726]}",MODERN ELECTRIC WATER COMPANY,53063002300
1G1FY6EV0V,Clallam,Port Angeles,WA,98362,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,24,291561945,"{'type': 'Point', 'coordinates': [-123.43112, 48.11892]}",BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA),53009001000
1G1FY6EV1V,Snohomish,Marysville,WA,98270,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,38,293171805,"{'type': 'Point', 'coordinates': [-122.1769, 48.06114]}",PUGET SOUND ENERGY INC,53061052810
WA154BGF9V,Kitsap,Bremerton,WA,98312,2027,AUDI,Q6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,35,292426410,"{'type': 'Point', 'coordinates': [-122.65223, 47.57192]}",PUGET SOUND ENERGY INC,53035091302
1G1FZ6EV3V,King,Enumclaw,WA,98022,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,31,289790287,"{'type': 'Point', 'coordinates': [-121.99136, 47.20433]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031302
7PD2EAAB8V,King,Tukwila,WA,98168,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,11,293907337,"{'type': 'Point', 'coordinates': [-122.29411, 47.48924]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026300
7PD2EAAB9V,King,Tukwila,WA,98168,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,11,293917256,"{'type': 'Point', 'coordinates': [-122.29411, 47.48924]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026300
